Epoch,Train_loss,Valid_loss
1,0.2105633627812741,1.3185320313160236
2,0.13119411231378153,1.0248477312234732
3,0.11595645142813861,0.9656530270209679
4,0.10849610568075081,0.9356015755580022
5,0.10409749649366866,0.8846564769744873
6,0.10166853812230284,0.9785974369599268
7,0.0997895625702293,0.9739282337518839
8,0.09850417746830795,0.9258514835284306
9,0.09778039345409012,1.0137897610664368
10,0.0959205840295093,0.9698730234916394
11,0.09421011700300173,0.9353552057192875
12,0.0932032638097887,0.9297451436519623
13,0.09275562673273957,0.9341850390801063
14,0.09364438647660384,0.9373541066279778
15,0.09292608315717928,0.9371022999286651
16,0.09307708833962959,0.9361719149809618
17,0.09323639910240182,0.9434604773154626
18,0.09237598270711028,0.942956025325335
19,0.0928902126806604,0.9394914351976835
20,0.09230281698136904,0.9382222056388855
