Epoch,Train_loss,Valid_loss
1,0.20370808402094034,1.4247746856316277
2,0.13002814111464164,1.261484135320221
3,0.11563661073173699,1.1449733540631724
4,0.10841705260596872,1.1620829783488011
5,0.10526492289025371,1.1776917520640553
6,0.10207481380460158,1.1440625138904736
7,0.09898514342291079,1.0301019920819048
8,0.10140805825082129,1.1440808749285296
9,0.09709501298289372,1.0357386372659518
10,0.09640663497475112,1.069004623786263
11,0.09443106207522993,1.0982146314952685
12,0.0949415372970887,1.0555518751127133
13,0.09354502029109046,1.0789679854676344
14,0.09125686511114607,1.0773646056220152
15,0.09216504709431071,1.0720531737458878
16,0.0910827555045118,1.1022873980843502
17,0.09105192078189107,1.0841791092053703
18,0.09122145933715849,1.059686258867167
19,0.08970209949807152,1.0711405961841778
20,0.09037441507943215,1.073419714535492
