Epoch,Train_loss,Valid_loss
1,0.22781338055491676,1.5193137093766096
2,0.1331993700655081,1.263803486138174
3,0.11695760851779358,1.2219444394928136
4,0.10915149669973162,1.1674955989400002
5,0.10434747419638798,1.062683957692695
6,0.10114787085191926,1.0712405645275769
7,0.09969556921412795,1.1636754443792447
8,0.09795501623053396,1.0743438464729753
9,0.09695862856894788,1.1199846024790856
10,0.09508486441826274,1.052686313856138
11,0.09428042640649566,1.0907931105323034
12,0.0936486268946705,1.0091418227920794
13,0.0924237292494988,1.0264495901049
14,0.0914928919954464,1.028892887373493
15,0.09150200681921174,1.0771181181277314
16,0.09050442077518649,1.0294507092809024
17,0.09029997260546593,1.085934707359092
18,0.08983092009308917,1.0850952157419023
19,0.08787124046973926,1.0735321992064175
20,0.08690128441949875,1.06744584032934
