Epoch,Train_loss,Valid_loss
1,0.21269570803182047,1.522624292740455
2,0.13261556939665656,1.1854351713107183
3,0.11838411969850068,1.0964902662313902
4,0.11052190466817265,1.0226925143828758
5,0.10443775493321894,1.0166118126649124
6,0.10248535364276945,0.987979330924841
7,0.10191750045858758,1.0045316673242128
8,0.09850935287871827,1.0689628248031322
9,0.09771442093418142,0.9824157164647029
10,0.0957988079167243,0.9609267509900606
11,0.09628100056208236,0.9530977313335125
12,0.09472426155445265,0.9835193065496591
1,0.09209349211971864,0.9539643668211424
2,0.09280358258417322,1.0112998604774475
3,0.09150784132255,1.0429892214444967
4,0.09155482476798155,0.973276378099735
5,0.09028996969178571,1.005495349260477
6,0.09015511069622192,0.961534989797152
7,0.0880792056773342,0.9788464890076564
8,0.08778929037590934,0.975121650329003
9,0.08854386006287263,0.9749517362851363
10,0.08767188905883869,0.9666200481928312
